mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
1	1	0	0	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	0				
1	1	1	1	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	1				
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	2				
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	3				
1	1	0	0	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	4				
1	1	1	1	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/8	#		
1	1	1	1	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	5				
1	1	3/2	3/2	0.0	3/8	3/8	FiguredBass	4/4	2	1	0				1/8	_		
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	6				
1	1	2	2	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	6		
1	1	2	2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	7				
1	1	3	3	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	6\		
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	8				
2	2	4	4	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	9				
2	2	5	5	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	10				
2	2	6	6	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	11				0
2	2	7	7	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	12				
2	2	4	4	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	13				
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	14				
2	2	6	6	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	6	4	
2	2	6	6	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	15				
2	2	7	7	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	5	#	
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	16				
3	3	8	8	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	17				
3	3	10	10	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	18				
3	3	11	11	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	19				
3	3	8	8	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	20				
3	3	10	10	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	21				
3	3	11	11	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	5		
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	22				
4	4	12	12	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	23				
4	4	13	13	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	24				
4	4	14	14	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	25				
4	4	15	15	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	26				
4	4	12	12	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	27				
4	4	13	13	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	#		
4	4	13	13	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	28				
4	4	14	14	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	29				
4	4	29/2	29/2	0.0	5/8	5/8	FiguredBass	4/4	2	1	0				1/8	_		
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	30				
4	4	15	15	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	6		
4	4	15	15	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	31				
5	5	16	16	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	32				
5	5	16	16	0.0	0	0	FiguredBass	4/4	2	1	0				1/2	#		
5	5	16	16	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	33				
6	6	20	20	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	34				
6	6	21	21	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	35				
6	6	22	22	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	36				1
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	37				
6	6	23	23	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	38				
6	6	20	20	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	h		
6	6	20	20	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	39				
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	40				
6	6	22	22	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	6		
6	6	22	22	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	41				
6	6	23	23	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	42				
7	7	24	24	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	43				
7	7	25	25	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	44				2
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	45				
7	7	26	26	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	46				3
7	7	27	27	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	47				
7	7	24	24	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	48				
7	7	25	25	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	49				
7	7	51/2	51/2	0.0	3/8	3/8	FiguredBass	4/4	2	1	0				1/8	6	5	
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	50				
7	7	26	26	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	6	4	
7	7	26	26	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	51				
7	7	27	27	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	5	3	
7	7	27	27	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	52				
8	8	28	28	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	53				
8	8	30	30	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	54				
8	8	31	31	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	55				
8	8	28	28	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	56				
8	8	30	30	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	6		
8	8	30	30	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	57				
8	8	31	31	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	58				
9	9	32	32	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	59				
9	9	33	33	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	60				
9	9	34	34	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	61				
9	9	35	35	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	62				4
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	63				
