piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	platform	source	translator	title_text	subtitle_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus
A-MCAU_ZI1785-001_SID039	1: 4/4	1: -1	10	10	40.0	10	10	40.0	72.0	71	38	0	0	0	Zinck	"Mein erst Gefühl sey Preiß und Dank
"								2021-03-10	Microsoft Windows			"Mein erst Gefühl sey Preiß und Dank
"		Zinck	3.6.0	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-001_SID039.mscz	False	36-75 (C2-Eb5)	Piano	65-75 (F4-Eb5)	Piano	36-55 (C2-G3)
A-MCAU_ZI1785-002a_SID008	1: 4/4	1: 0	15	15	60.0	20	20	80.0	108.0	90	49	0	0	0	Zinck	"Erwachet, Harf und Psalter [Melodie a]
"								2021-02-25	Microsoft Windows			"Erwachet, Harf und Psalter [Melodie a]
"		Zinck	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-002a_SID008.mscz	False	41-74 (F2-D5)	Piano	62-74 (D4-D5)	Piano	41-55 (F2-G3)
A-MCAU_ZI1785-002b	1: 4/4	1: -2	14	14	56.0	19	19	76.0	100.0	87	45	0	0	0	Zinck, Benedix Friedrich	Erwachet, harf und Pfalter								2022-08-02	Microsoft Windows			Erwachet, harf und Pfalter	ZI1785-002b	Zinck, Benedix Friedrich	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-002b.mscz	False	38-75 (D2-Eb5)	Piano	62-75 (D4-Eb5)	Piano	38-57 (D2-A3)
A-MCAU_ZI1785-002c	1: 4/4	1: 0	14	14	56.0	28	28	112.0	96.0	83	44	0	0	0	Zinck, Bendix Friedrich	Erwachet, Harf und Psalter								2022-06-27	Microsoft Windows			Erwachet, Harf und Psalter	ZI1785-002c	Zinck, Bendix Friedrich	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-002c.mscz	False	36-76 (C2-E5)	Piano	60-76 (C4-E5)	Piano	36-55 (C2-G3)
A-MCAU_ZI1785-003_SID092	1: 4/4	1: 1	10	10	40.0	10	10	40.0	72.0	72	39	0	0	0	Zinck, Bendix Friedrich	Wach auf mein Herz und singe								2022-08-22	Microsoft Windows			Wach auf mein Herz und singe	ZI1785-003	Zinck, Bendix Friedrich	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-003_SID092.mscz	False	38-72 (D2-C5)	Piano	64-72 (E4-C5)	Piano	38-55 (D2-G3)
A-MCAU_ZI1785-004_SID032	1: 4/4	1: 1	9	9	36.0	14	14	56.0	72.0	63	32	0	0	0	Zinck	"Gott des Himmels und der Erde
"								2021-02-25	Microsoft Windows			"Gott des Himmels und der Erde
"		Zinck	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-004_SID032.mscz	False	42-74 (F#2-D5)	Piano	62-74 (D4-D5)	Piano	42-55 (F#2-G3)
A-MCAU_ZI1785-005_SID006	1: 4/4	1: -1	14	14	56.0	19	19	76.0	100.0	93	51	0	0	0	Zinck	"Des Morgens erste Stunde
"								2021-02-25	Microsoft Windows			"Des Morgens erste Stunde
"		Zinck	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-005_SID006.mscz	False	36-72 (C2-C5)	Piano	64-72 (E4-C5)	Piano	36-53 (C2-F3)
A-MCAU_ZI1785-006_SID047	1: 4/4	1: 1	11	11	44.0	16	16	64.0	88.0	75	38	0	0	0	Zinck	"Noch erleuchtet mich dein Licht
"								2021-03-10	Microsoft Windows			"Noch erleuchtet mich dein Licht
"		Zinck	3.6.0	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-006_SID047.mscz	False	38-74 (D2-D5)	Piano	62-74 (D4-D5)	Piano	38-55 (D2-G3)
A-MCAU_ZI1785-007_SID074	1: 4/4	1: 1	12	12	48.0	12	12	48.0	86.0	83	45	0	0	0	Zinck, Bendix Friedrich	Ihm, der das Licht entstehen ließ								2021-04-09	Microsoft Windows			Ihm, der das Licht entstehen ließ		Zinck, Bendix Friedrich	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-007_SID074.mscz	False	43-74 (G2-D5)	Piano	67-74 (G4-D5)	Piano	43-57 (G2-A3)
A-MCAU_ZI1785-008	1: 4/4	1: 2	13	13	52.0	13	13	52.0	96.0	90	45	0	0	0	Zinck, Benedix Friedrich	Laßt Gott uns preisen								2022-08-02	Microsoft Windows			Laßt Gott uns preisen	ZI1785-008	Zinck, Benedix Friedrich	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-008.mscz	False	38-76 (D2-E5)	Piano	62-76 (D4-E5)	Piano	38-57 (D2-A3)
A-MCAU_ZI1785-009_SID036	1: 4/4	1: -2	10	10	40.0	10	10	40.0	72.0	70	38	0	0	0	Zinck	"Dir, Vater, dir, mein Heil, o Sohn
"								2021-03-10	Microsoft Windows			"Dir, Vater, dir, mein Heil, o Sohn
"		Zinck	3.6.0	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-009_SID036.mscz	False	41-75 (F2-Eb5)	Piano	65-75 (F4-Eb5)	Piano	41-58 (F2-Bb3)
A-MCAU_ZI1785-010a_SID048	1: 4/4	1: -1	9	9	36.0	9	9	36.0	64.0	63	34	0	0	0	Zinck	"Vergangen ist auch diese Nacht [Melodie a]
"								2021-03-10	Microsoft Windows			"Vergangen ist auch diese Nacht [Melodie a]
"		Zinck	3.6.0	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-010a_SID048.mscz	False	36-74 (C2-D5)	Piano	65-74 (F4-D5)	Piano	36-55 (C2-G3)
A-MCAU_ZI1785-010b	1: 4/4	1: 2	9	9	36.0	9	9	36.0	64.0	59	31	0	0	0	Zinck, Bendix Friedrich	Vergangen ist auch diese Nacht								2022-06-27	Microsoft Windows			Vergangen ist auch diese Nacht	ZI1785-010b	Zinck, Bendix Friedrich	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-010b.mscz	False	38-74 (D2-D5)	Piano	62-74 (D4-D5)	Piano	38-52 (D2-E3)
A-MCAU_ZI1785-011a	1: 4/4	1: 0	10	10	40.0	20	20	80.0	72.0	70	37	0	0	0	Rein, Johann Balthasar	Mein Gott nun ist es wieder Morgen								2022-06-21	Microsoft Windows			Mein Gott nun ist es wieder Morgen	ZI1785-011a	Zinck, Benedix Friedrich	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-011a.mscz	False	41-77 (F2-F5)	Piano	60-77 (C4-F5)	Piano	41-57 (F2-A3)
A-MCAU_ZI1785-011b_SID080	1: 4/4	1: 0	10	10	40.0	15	15	60.0	72.0	69	36	0	0	0	Zinck, Bendix Friedrich	Mein Gott nun ist es wieder Morgen [Melodie b]								2021-10-23	Microsoft Windows			Mein Gott nun ist es wieder Morgen [Melodie b]		Zinck, Bendix Friedrich	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-011b_SID080.mscz	False	40-76 (E2-E5)	Piano	64-76 (E4-E5)	Piano	40-57 (E2-A3)
A-MCAU_ZI1785-011c	1: 4/4	1: -1	11	11	44.0	17	17	68.0	80.0	72	37	0	0	0	Zinck, Bendix Friedrich	Mein Gott nun ist es wieder Morgen								2023-07-24	Microsoft Windows			Mein Gott nun ist es wieder Morgen	ZI1785-011c	Zinck, Bendix Friedrich	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-011c.mscz	False	36-74 (C2-D5)	Piano	64-74 (E4-D5)	Piano	36-55 (C2-G3)
A-MCAU_ZI1785-012_SID086	1: 4/4	1: 1	14	14	56.0	14	14	56.0	100.0	89	48	0	0	0	Zinck, Bendix Friedrich	So tret ich freudig an								2021-04-09	Microsoft Windows			So tret ich freudig an		Zinck, Bendix Friedrich	3.6.0	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-012_SID086.mscz	False	38-74 (D2-D5)	Piano	64-74 (E4-D5)	Piano	38-55 (D2-G3)
A-MCAU_ZI1785-013_SID091	1: 4/4	1: 1	15	15	60.0	20	20	80.0	120.0	102	53	0	0	0	Zinck, Bendix Friedrich	Wenn ich einst von jenem Schlummer								2022-08-22	Microsoft Windows			Wenn ich einst von jenem Schlummer		Zinck, Bendix Friedrich	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-013_SID091.mscz	False	38-77 (D2-F5)	Piano	67-77 (G4-F5)	Piano	38-60 (D2-C4)
A-MCAU_ZI1785-014a	1: 4/4	1: -2	13	13	52.0	13	13	52.0	96.0	89	47	0	0	0	Zinck, Benedix Friedrich	Auf dich, o Vater, schauen unsre								2022-08-02	Microsoft Windows			Auf dich, o Vater, schauen unsre	ZI1785-014a	Zinck, Benedix Friedrich	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-014a.mscz	False	36-74 (C2-D5)	Piano	65-74 (F4-D5)	Piano	36-58 (C2-Bb3)
A-MCAU_ZI1785-014b	1: 4/4	1: 2	12	12	48.0	12	12	48.0	88.0	88	47	0	0	0	Zinck, Bendix Friedrich	Auf dich,o Vater, schauen unsre								2022-06-27	Microsoft Windows			Auf dich,o Vater, schauen unsre	ZI1785-014b	Zinck, Bendix Friedrich	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-014b.mscz	False	38-76 (D2-E5)	Piano	62-76 (D4-E5)	Piano	38-57 (D2-A3)
A-MCAU_ZI1785-015_SID066	1: 4/4	1: -2	14	14	56.0	14	14	56.0	112.0	106	55	0	0	0	Zinck, Bendix Friedrich	Danck dem milden Vater! Danck!								2021-04-09	Microsoft Windows			Danck dem milden Vater! Danck!		Zinck, Bendix Friedrich	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-015_SID066.mscz	False	36-77 (C2-F5)	Piano	65-77 (F4-F5)	Piano	36-57 (C2-A3)
A-MCAU_ZI1785-016a_SID053	1: 4/4	1: -1	13	13	52.0	18	18	72.0	92.0	82	42	0	0	0	Zinck	"Wir danken freudig, dir, für [Melodie a]
"								2021-03-10	Microsoft Windows			"Wir danken freudig, dir, für [Melodie a]
"		Zinck	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-016a_SID053.mscz	False	36-74 (C2-D5)	Piano	65-74 (F4-D5)	Piano	36-55 (C2-G3)
A-MCAU_ZI1785-016b	1: 4/4	1: 2	13	13	52.0	26	26	104.0	92.0	77	39	0	0	0	Zinck, Benedix Friedrich	Wir danken freudig dir, für								2022-06-24	Microsoft Windows			Wir danken freudig dir, für	ZI1785-016b	Zinck, Benedix Friedrich	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-016b.mscz	False	38-76 (D2-E5)	Piano	62-76 (D4-E5)	Piano	38-57 (D2-A3)
A-MCAU_ZI1785-017_SID094	1: 4/4	1: -1	12	12	48.0	12	12	48.0	88.0	65	33	0	0	0	Zinck, Bendix Friedrich	Wie ein Geschwätz des Tags verließt								2022-08-22	Microsoft Windows			Wie ein Geschwätz des Tags verließt		Zinck, Bendix Friedrich	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-017_SID094.mscz	False	38-74 (D2-D5)	Piano	62-74 (D4-D5)	Piano	38-55 (D2-G3)
A-MCAU_ZI1785-018_SID090	1: 4/4	1: -2	12	12	48.0	12	12	48.0	88.0	72	37	0	0	0	Zinck, Bendix Friedrich	Erhalter, Menschenhüter! Danck								2022-08-22	Microsoft Windows			Erhalter, Menschenhüter! Danck		Zinck, Bendix Friedrich	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-018_SID090.mscz	False	43-72 (G2-C5)	Piano	65-72 (F4-C5)	Piano	43-55 (G2-G3)
A-MCAU_ZI1785-019_SID058	1: 4/4	1: 1	17	17	68.0	17	17	68.0	124.0	102	56	0	0	0	Zinck, Bendix Friedrich	Du, Herr, hast mir das Leben								2021-04-09	Microsoft Windows			Du, Herr, hast mir das Leben		Zinck, Bendix Friedrich	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-019_SID058.mscz	False	42-74 (F#2-D5)	Piano	62-74 (D4-D5)	Piano	42-55 (F#2-G3)
A-MCAU_ZI1785-020_SID060	1: 4/4	1: 0	14	13	48.0	19	17	64.0	86.0	79	41	0	0	0	Zinck, Bendix Friedrich	Der Tag ist wieder hin, und								2021-04-09	Microsoft Windows			Der Tag ist wieder hin, und		Zinck, Bendix Friedrich	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-020_SID060.mscz	False	40-74 (E2-D5)	Piano	60-74 (C4-D5)	Piano	40-57 (E2-A3)
