mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0	0	0	4/4	2	1	1/4	1/4	1		2	50	D3	3	5
1	1	0	0	1.0	0	0	4/4	1	1	1/4	1/4	1		2	62	D4	4	0
1	1	1	1	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		3	45	A2	2	6
1	1	1	1	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		4	64	E4	4	1
1	1	2	2	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		2	50	D3	3	7
1	1	2	2	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		6	66	F#4	4	2
1	1	5/2	5/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		1	67	G4	4	3
1	1	3	3	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		6	54	F#3	3	8
1	1	3	3	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	4
2	2	4	4	1.0	0	0	4/4	2	1	1/4	1/4	1		4	52	E3	3	14
2	2	4	4	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	9
2	2	5	5	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		2	50	D3	3	15
2	2	5	5	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		6	66	F#4	4	10
2	2	11/2	11/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		1	43	G2	2	16
2	2	11/2	11/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		4	64	E4	4	11
2	2	6	6	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	45	A2	2	17
2	2	6	6	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		6	66	F#4	4	12
2	2	7	7	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		3	45	A2	2	18
2	2	7	7	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		4	64	E4	4	13
3	3	8	8	4.0	0	0	4/4	2	1	1	1	1		2	50	D3	3	20
3	3	8	8	4.0	0	0	4/4	1	1	1	1	1		2	62	D4	4	19
4	4	12	12	1.0	0	0	4/4	2	1	1/4	1/4	1		7	49	C#3	3	26
4	4	12	12	1.0	0	0	4/4	1	1	1/4	1/4	1		4	64	E4	4	21
