mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0	0	0	4/4	2	1	1/4	1/4	1		1	55	G3	3	4
1	1	0	0	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	0
1	1	1	1	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		6	54	F#3	3	5
1	1	1	1	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	1
1	1	2	2	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		1	55	G3	3	6
1	1	2	2	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	2
1	1	3	3	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		-1	53	F3	3	7
1	1	3	3	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	3
2	2	4	4	1.0	0	0	4/4	2	1	1/4	1/4	1		-2	46	Bb2	2	12
2	2	4	4	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	8
2	2	5	5	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		0	48	C3	3	13
2	2	5	5	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	9
2	2	6	6	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		2	50	D3	3	14
2	2	6	6	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	10
2	2	7	7	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	38	D2	2	15
2	2	7	7	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	11
3	3	8	8	4.0	0	0	4/4	2	1	1	1	1		1	43	G2	2	17
3	3	8	8	4.0	0	0	4/4	1	1	1	1	1		1	67	G4	4	16
4	4	12	12	1.0	0	0	4/4	2	1	1/4	1/4	1		2	50	D3	3	22
4	4	12	12	1.0	0	0	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	18
4	4	13	13	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	52	E3	3	23
4	4	13	13	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	19
4	4	14	14	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		6	54	F#3	3	24
4	4	14	14	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	20
4	4	15	15	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		1	55	G3	3	25
4	4	15	15	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	21
5	5	16	16	1.0	0	0	4/4	2	1	1/4	1/4	1		2	50	D3	3	29
5	5	16	16	1.0	0	0	4/4	1	1	1/4	1/4	1		6	66	F#4	4	26
5	5	17	17	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		1	43	G2	2	30
5	5	17	17	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	27
5	5	18	18	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		2	50	D3	3	31
5	5	18	18	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	28
6	6	20	20	0.5	0	0	4/4	2	1	1/8	1/8	1		6	54	F#3	3	37
6	6	20	20	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	32
6	6	41/2	41/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		4	52	E3	3	38
6	6	21	21	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	50	D3	3	39
6	6	21	21	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	33
6	6	22	22	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		0	48	C3	3	40
6	6	22	22	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		0	72	C5	5	34
6	6	45/2	45/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		-2	70	Bb4	4	35
6	6	23	23	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		6	54	F#3	3	41
6	6	23	23	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	36
7	7	24	24	1.0	0	0	4/4	2	1	1/4	1/4	1		4	52	E3	3	47
7	7	24	24	1.0	0	0	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	42
7	7	25	25	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		-1	53	F3	3	48
7	7	25	25	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		3	69	A4	4	43
7	7	51/2	51/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		-2	46	Bb2	2	49
7	7	51/2	51/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		1	67	G4	4	44
7	7	26	26	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		0	48	C3	3	50
7	7	26	26	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	45
7	7	27	27	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		0	36	C2	2	51
7	7	27	27	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	46
8	8	28	28	4.0	0	0	4/4	2	1	1	1	1		-1	41	F2	2	53
8	8	28	28	4.0	0	0	4/4	1	1	1	1	1		-1	65	F4	4	52
9	9	32	32	1.0	0	0	4/4	2	1	1/4	1/4	1		2	50	D3	3	58
9	9	32	32	1.0	0	0	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	54
9	9	33	33	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		0	48	C3	3	59
9	9	33	33	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	55
9	9	34	34	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		-2	46	Bb2	2	60
9	9	34	34	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		2	74	D5	5	56
9	9	35	35	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	61
9	9	35	35	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	57
10	10	36	36	1.0	0	0	4/4	2	1	1/4	1/4	1		3	57	A3	3	67
10	10	36	36	1.0	0	0	4/4	1	1	1/4	1/4	1		-3	75	Eb5	5	62
10	10	37	37	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		-2	58	Bb3	3	68
10	10	37	37	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		2	74	D5	5	63
10	10	75/2	75/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		-3	51	Eb3	3	69
10	10	75/2	75/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		0	72	C5	5	64
10	10	38	38	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		-1	53	F3	3	70
10	10	38	38	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		2	74	D5	5	65
10	10	39	39	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		-1	41	F2	2	71
10	10	39	39	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	66
11	11	40	40	4.0	0	0	4/4	2	1	1	1	1		-2	46	Bb2	2	73
11	11	40	40	4.0	0	0	4/4	1	1	1	1	1		-2	70	Bb4	4	72
12	12	44	44	0.5	0	0	4/4	2	1	1/8	1/8	1		-1	53	F3	3	78
12	12	44	44	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	74
12	12	89/2	89/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		-3	51	Eb3	3	79
12	12	45	45	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	50	D3	3	80
12	12	45	45	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	75
12	12	46	46	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		0	48	C3	3	81
12	12	46	46	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		0	72	C5	5	76
12	12	47	47	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		-2	46	Bb2	2	82
12	12	47	47	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	77
