mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	1	1	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		0	48	C3	3	3
1	1	1	1	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	0
1	1	2	2	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		0	36	C2	2	4
1	1	2	2	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		4	64	E4	4	1
1	1	3	3	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		0	48	C3	3	5
1	1	3	3	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		0	60	C4	4	2
2	2	4	4	1.0	0	0	4/4	2	1	1/4	1/4	1		5	47	B2	2	11
2	2	4	4	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	6
2	2	5	5	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	12
2	2	5	5	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	7
2	2	6	6	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	13
2	2	6	6	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		0	72	C5	5	8
2	2	7	7	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		6	54	F#3	3	14
2	2	7	7	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		2	74	D5	5	9
2	2	15/2	15/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		0	72	C5	5	10
3	3	8	8	2.0	0	0	4/4	2	1	1/2	1/2	1		1	55	G3	3	17
3	3	8	8	2.0	0	0	4/4	1	1	1/2	1/2	1		5	71	B4	4	15
3	3	11	11	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		5	47	B2	2	18
3	3	11	11	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	16
4	4	12	12	1.0	0	0	4/4	2	1	1/4	1/4	1		0	48	C3	3	23
4	4	12	12	1.0	0	0	4/4	1	1	1/4	1/4	1		4	76	E5	5	19
