mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	1	1	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		3	45	A2	2	3
1	1	1	1	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	0
1	1	2	2	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		-1	41	F2	2	4
1	1	2	2	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	1
1	1	3	3	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		3	45	A2	2	5
1	1	3	3	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	2
2	2	4	4	1.0	0	0	4/4	2	1	1/4	1/4	1		0	48	C3	3	10
2	2	4	4	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	6
2	2	5	5	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		0	48	C3	3	11
2	2	5	5	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	7
2	2	6	6	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		2	50	D3	3	12
2	2	6	6	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	8
2	2	7	7	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	38	D2	2	13
2	2	7	7	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	9
3	3	8	8	2.0	0	0	4/4	2	1	1/2	1/2	1		1	43	G2	2	16
3	3	8	8	2.0	0	0	4/4	1	1	1/2	1/2	1		1	67	G4	4	14
3	3	11	11	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		1	43	G2	2	17
3	3	11	11	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	15
4	4	12	12	1.0	0	0	4/4	2	1	1/4	1/4	1		0	48	C3	3	22
4	4	12	12	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	18
4	4	13	13	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		0	48	C3	3	23
4	4	13	13	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	19
4	4	14	14	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	45	A2	2	24
4	4	14	14	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	20
4	4	15	15	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	50	D3	3	25
4	4	15	15	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		6	66	F#4	4	21
5	5	16	16	1.0	0	0	4/4	2	1	1/4	1/4	1		5	47	B2	2	29
5	5	16	16	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	26
5	5	17	17	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	52	E3	3	30
5	5	17	17	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	27
5	5	18	18	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		7	49	C#3	3	31
5	5	18	18	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	28
5	5	19	19	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	50	D3	3	32
6	6	20	20	4.0	0	0	4/4	2	1	1	1	1		3	45	A2	2	33
7	7	25	25	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	50	D3	3	37
7	7	25	25	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	34
7	7	26	26	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		1	55	G3	3	38
7	7	26	26	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	35
7	7	27	27	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		1	55	G3	3	39
7	7	27	27	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	36
8	8	28	28	1.0	0	0	4/4	2	1	1/4	1/4	1		1	43	G2	2	44
8	8	28	28	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	40
8	8	29	29	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		0	48	C3	3	45
8	8	29	29	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	41
8	8	30	30	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		-1	53	F3	3	46
8	8	30	30	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	42
8	8	31	31	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	50	D3	3	47
8	8	31	31	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	43
9	9	32	32	2.0	0	0	4/4	2	1	1/2	1/2	1		0	48	C3	3	50
9	9	32	32	2.0	0	0	4/4	1	1	1/2	1/2	1		0	72	C5	5	48
9	9	35	35	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		3	45	A2	2	51
9	9	35	35	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	49
10	10	36	36	0.5	0	0	4/4	2	1	1/8	1/8	1		5	47	B2	2	55
10	10	36	36	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	52
10	10	73/2	73/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		0	48	C3	3	56
10	10	37	37	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	50	D3	3	57
10	10	37	37	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	53
10	10	38	38	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		1	43	G2	2	58
10	10	38	38	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		1	67	G4	4	54
11	11	41	41	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		0	48	C3	3	62
11	11	41	41	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	59
11	11	42	42	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		5	47	B2	2	63
11	11	42	42	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		1	67	G4	4	60
11	11	43	43	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		0	48	C3	3	64
11	11	43	43	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	61
12	12	44	44	1.0	0	0	4/4	2	1	1/4	1/4	1		3	45	A2	2	69
12	12	44	44	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	65
12	12	45	45	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	50	D3	3	70
12	12	45	45	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		6	66	F#4	4	66
12	12	46	46	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		5	47	B2	2	71
12	12	46	46	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		1	67	G4	4	67
12	12	47	47	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		4	52	E3	3	72
12	12	47	47	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	68
13	13	48	48	1.0	0	0	4/4	2	1	1/4	1/4	1		7	49	C#3	3	74
13	13	48	48	4.0	0	0	4/4	1	1	1	1	1		3	69	A4	4	73
13	13	49	49	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	50	D3	3	75
13	13	50	50	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		3	45	A2	2	76
